tmdb_id,title,original_language,language_queried,release_date,popularity,vote_average,vote_count,director_gender,female_leads_top5,male_leads_top5,total_cast,female_in_full_cast,budget,revenue,runtime,genres,production_companies,bechdel_proxy_score,bechdel_proxy_pass,bechdel_proxy_partial,year,decade,genres_list,primary_genre,revenue_clean,budget_clean,has_boxoffice,roi,female_cast_ratio,female_lead_ratio,director_gender_label,language_label,revenue_m,revenue_inr_crore,budget_inr_crore
363343,Raees,hi,hi,2017-01-25,5.2103,6.663,251,2,2,3,11,3,46000000,0,143,"['Thriller', 'Action', 'Crime']","['Red Chillies Entertainment', 'Excel Entertainment']",2.0,False,True,2017,2015,"['Thriller', 'Action', 'Crime']",Thriller,,46000000.0,False,,0.2727272727272727,0.4,Male,Hindi,,,384.1
864692,Pathaan,hi,hi,2023-01-25,4.9965,6.413,252,2,2,3,53,3,30270000,127180000,146,"['Action', 'Adventure', 'Thriller']","['Yash Raj Films', 'Pathaan Productions', 'Palma Pictures', 'FPS Productions', 'NSA Picture', 'ODU Movies']",2.0,False,True,2023,2020,"['Action', 'Adventure', 'Thriller']",Action,127180000.0,30270000.0,True,3.201519656425504,0.0566037735849056,0.4,Male,Hindi,,1050.0,252.7545
784651,Fighter,hi,hi,2024-01-24,4.578,6.157,159,2,2,3,67,6,30069500,43160558,167,"['Action', 'Drama']","['Marflix Pictures', 'Viacom18 Studios', 'Prime Focus']",2.0,False,True,2024,2020,"['Action', 'Drama']",Action,43160558.0,30069500.0,True,0.435360015963019,0.0895522388059701,0.4,Male,Hindi,,360.3906593,251.080325
44977,Dhoom 3,hi,hi,2013-12-19,4.4484,6.0,307,0,1,4,17,7,19500000,91000000,171,"['Action', 'Crime']","['Yash Raj Films', 'Dhoom Studios', 'Prime Focus']",0.0,False,False,2013,2010,"['Action', 'Crime']",Action,91000000.0,19500000.0,True,3.6666666666666665,0.4117647058823529,0.2,Unknown,Hindi,,759.85,162.825
362045,Bajirao Mastani,hi,hi,2015-12-18,4.6149,7.257,306,2,3,2,15,4,19500000,56000000,158,"['History', 'Romance', 'Drama']","['Eros International', 'Bhansali Productions']",2.0,False,True,2015,2015,"['History', 'Romance', 'Drama']",History,56000000.0,19500000.0,True,1.871794871794872,0.2666666666666666,0.6,Male,Hindi,,467.6,162.825
1029827,Drishyam 2,hi,hi,2022-11-18,5.1393,8.014,107,2,3,2,22,6,7200000,41000000,140,"['Thriller', 'Drama', 'Mystery']","['Viacom18 Studios', 'Panorama Studios', 'T-Series', 'Aashirvad Cinemas', 'Reflection Pictures Studio']",2.0,False,True,2022,2020,"['Thriller', 'Drama', 'Mystery']",Thriller,41000000.0,7200000.0,True,4.694444444444445,0.2727272727272727,0.6,Male,Hindi,,342.35,60.12
11518,Mohabbatein,hi,hi,2000-10-27,4.7133,7.087,289,2,0,5,29,8,4000000,20000000,216,"['Drama', 'Romance']",['Yash Raj Films'],0.0,False,False,2000,2000,"['Drama', 'Romance']",Drama,20000000.0,4000000.0,True,4.0,0.2758620689655172,0.0,Male,Hindi,,167.0,33.4
577328,Kabir Singh,hi,hi,2019-06-20,5.277,6.3,178,2,2,3,13,3,8751000,55478164,172,"['Drama', 'Romance']","['Cine1 Studios', 'T-Series']",2.0,False,True,2019,2015,"['Drama', 'Romance']",Drama,55478164.0,8751000.0,True,5.339637070049137,0.2307692307692307,0.4,Male,Hindi,,463.2426694,73.07085
538858,Tumbbad,hi,hi,2018-10-12,4.0664,7.581,326,2,0,2,17,2,0,0,113,"['Fantasy', 'Horror']","['Filmgate Films', 'Film i Väst', 'Sohum Shah FIlms', 'Colour Yellow Productions', 'Eros International']",0.0,False,False,2018,2015,"['Fantasy', 'Horror']",Fantasy,,,False,,0.1176470588235294,0.0,Male,Hindi,,,
117691,Gangs of Wasseypur - Part 1,hi,hi,2012-06-22,3.9978,7.076,433,2,2,3,17,4,1400000,4100000,160,"['Action', 'Thriller', 'Crime']","['Anurag Kashyap Films', 'Jar Pictures', 'Tipping Point Films', 'Viacom18 Studios']",2.0,False,True,2012,2010,"['Action', 'Thriller', 'Crime']",Action,4100000.0,1400000.0,True,1.9285714285714288,0.2352941176470588,0.4,Male,Hindi,,34.235,11.69
